teams,winner
"Aatrox,Rengar,Leblanc,Kaisa,Alistar,Yone,Viego,Sylas,Seraphine,Pyke",0
"Akali,KogMaw,Swain,Pantheon,MissFortune,Jayce,Sejuani,Draven,Kaisa,Gangplank",1
"Jax,Poppy,Azir,Zeri,Shaco,Volibear,LeeSin,AurelionSol,Kaisa,Janna",1
"Jayce,Graves,Karma,Varus,Xerath,Malphite,Viego,Ahri,MissFortune,Pyke",1
"Smolder,Gragas,Pyke,Varus,Sona,Jax,LeeSin,TwistedFate,Seraphine,Senna",1
"Kalista,Graves,Smolder,Samira,Nautilus,Aatrox,Volibear,Kaisa,Vayne,Taric",0
"Riven,MonkeyKing,Zoe,Smolder,Zilean,Singed,LeeSin,Lux,Jhin,Hwei",1
"Aatrox,Hecarim,AurelionSol,Karthus,Nautilus,Gragas,Kayn,Ahri,Lucian,Senna",1
"Illaoi,Nocturne,Hwei,Senna,Ashe,Aatrox,Nidalee,Sylas,Kaisa,Pyke",1
"Volibear,Khazix,TwistedFate,Hwei,Xerath,AurelionSol,LeeSin,Akshan,Smolder,Nautilus",1
"Riven,Taric,Ahri,Twitch,Zilean,Jax,Brand,Jayce,Smolder,Rakan",0
"Fiora,LeeSin,Karma,Ezreal,Soraka,Urgot,Orianna,Maokai,Ashe,Camille",1
"Singed,MasterYi,Jayce,Varus,Sylas,Fiora,LeeSin,Karma,Kaisa,Hwei",1
"Aatrox,LeeSin,Hwei,Smolder,Senna,Viego,FiddleSticks,TwistedFate,Lucian,Zyra",0
"Urgot,Nunu,Karma,Ezreal,Zyra,Aatrox,Khazix,AurelionSol,Senna,Sona",0
"Aatrox,Volibear,AurelionSol,KogMaw,Milio,Gwen,Shaco,Zed,Caitlyn,Bard",0
"Ornn,MonkeyKing,Galio,Smolder,Senna,Darius,Kindred,AurelionSol,Caitlyn,Nautilus",1
"Gragas,Graves,Ahri,Smolder,Zac,Jax,Karthus,Sylas,KogMaw,Lulu",1
"Darius,Graves,Ahri,Sivir,Thresh,Vayne,XinZhao,Akali,Twitch,Leblanc",0
"Ryze,Graves,Kassadin,Aphelios,Alistar,Briar,Volibear,Ahri,Smolder,Leona",1
"Malphite,Graves,Ahri,MissFortune,Rell,Jayce,Kindred,Sylas,Zeri,Lulu",1
"Smolder,XinZhao,Swain,Nilah,Maokai,Riven,Vi,Tristana,Seraphine,Karma",0
"Riven,LeeSin,Taliyah,Brand,Ashe,Briar,JarvanIV,Syndra,Karthus,Blitzcrank",0
"Olaf,Khazix,Karma,Sivir,Camille,Renekton,Taliyah,Briar,Brand,Hwei",0
"Aatrox,Gragas,Kaisa,Senna,Nautilus,Briar,Volibear,Veigar,KogMaw,Milio",0
"Zac,Kindred,Lux,Caitlyn,Morgana,TahmKench,Nocturne,Hwei,Lucian,Milio",1
"Karma,Vi,Yone,Jhin,Bard,Aatrox,Kindred,Ahri,Hwei,Janna",1
"Aatrox,Volibear,Hwei,Twitch,Rell,Gnar,Kindred,Orianna,Yasuo,Janna",1
"Rumble,Gragas,Zed,Vayne,Thresh,Yone,LeeSin,Galio,KogMaw,Nautilus",1
"Renekton,Nidalee,MonkeyKing,Lucian,Nami,Rumble,Viego,Azir,Kalista,Camille",1
"Rumble,Khazix,Yone,Ezreal,Zyra,Aatrox,LeeSin,Anivia,Caitlyn,MissFortune",0
"TahmKench,Taliyah,Akshan,Smolder,Rell,Gwen,Kindred,Corki,Twitch,Milio",0
"Malphite,Nidalee,Tristana,Seraphine,Camille,Kennen,Kindred,Rakan,Jinx,Sylas",0
"KSante,XinZhao,Udyr,Kaisa,Rakan,Aatrox,Kindred,Vladimir,Ezreal,Janna",1
"Riven,Kayn,Nautilus,Senna,Ahri,TwistedFate,Viego,Zoe,Smolder,Zyra",0
"Jayce,Khazix,AurelionSol,Tristana,Taric,Malphite,Viego,Syndra,KogMaw,Lulu",0
"Poppy,Kindred,Taliyah,Zeri,Bard,Rumble,LeeSin,Yasuo,Varus,Nautilus",0
"Kled,Kindred,Jayce,Hwei,Senna,Gragas,LeeSin,Vayne,Ezreal,Blitzcrank",1
"Janna,Vi,Azir,KogMaw,Garen,Jax,Kindred,Lulu,Seraphine,Rell",1
"Jax,Zac,Ahri,Draven,Nautilus,Udyr,LeeSin,Senna,Yasuo,Orianna",0
"Jax,LeeSin,TwistedFate,Seraphine,Ezreal,Yone,Taliyah,Qiyana,Kaisa,Rell",1
"Jayce,Kindred,Fizz,Seraphine,Senna,Sett,Volibear,Zoe,Caitlyn,Rumble",0
"Jayce,Talon,Sylas,Kaisa,Rell,Rumble,LeeSin,Diana,Lucian,Nautilus",1
"Sion,Talon,Diana,Seraphine,Braum,Vayne,LeeSin,Azir,Caitlyn,Teemo",1
"Akali,LeeSin,Varus,Taliyah,Rell,Renekton,Poppy,Yasuo,Hwei,Rumble",1
"Udyr,Gragas,Zed,Kalista,Alistar,Darius,Ivern,Tristana,Kaisa,Camille",1
